Name,Link,Podcast,Number,Löschen?,Kein Podcast?,Privat?,Zeile OK?,100.00%,Podcasts bis jetzt (zum nachschlagen):,
ep217.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep217.txt,EP,217,,,,TRUE,,,
ep-218.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep-218.txt,EP,218,,,,TRUE,,,
ep-219.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep-219.txt,EP,219,,,,TRUE,,,
ep-220.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep-220.txt,EP,220,,,,TRUE,,,
ep-222.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep-222.txt,EP,222,,,,TRUE,,,
ep-223.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep-223.txt,EP,223,,,,TRUE,,,
ep-224.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep-224.txt,EP,224,,,,TRUE,,,
ep225.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep225.txt,EP,225,,,,TRUE,,,
ep226.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep226.txt,EP,226,,,,TRUE,,,
ep227.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep227.txt,EP,227,,,,TRUE,,,
ep.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep.txt,ep,166,,,,TRUE,,,
FG15.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/FG15.txt,wrint,36,,,,TRUE,,,
FG18.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/FG18.txt,wrint,57,,,,TRUE,,,
FG19.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/FG19.txt,wrint,61,,,,TRUE,,,
FG20.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/FG20.txt,wrint,63,,,,TRUE,,,
FG21.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/FG21.txt,wrint,64,,,,TRUE,,,
GR13.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/GR13.txt,,,,x,,TRUE,,,
hoaxgeeks01.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/hoaxgeeks01.txt,WG,39,,,,TRUE,,,
intern03.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/intern03.txt,,,,x,x,TRUE,,,
JC007.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/JC007.txt,JC,7,,,,TRUE,,,
JC008.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/JC008.txt,JC,8,,,,TRUE,,,
JC009.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/JC009.txt,JC,9,,,,TRUE,,,
jc010.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/jc010.txt,JC,10,,,,TRUE,,,
jc012.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/jc012.txt,JC,12,,,,TRUE,,,
jc11.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/jc11.txt,JC,11,,,,TRUE,,,
jc13.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/jc13.txt,JC,13,,,,TRUE,,,
jc15.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/jc15.txt,JC,15,,,,TRUE,,,
jc16.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/jc16.txt,JC,16,,,,TRUE,,,
jc17.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/jc17.txt,JC,17,,,,TRUE,,,
jc18.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/jc18.txt,JC,18,,,,TRUE,,,
jc19.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/jc19.txt,JC,19,,,,TRUE,,,
jc20.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/jc20.txt,JC,20,,,,TRUE,,,
LC004.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/LC004.txt,LC,4,,,,TRUE,,,
LL-01-10-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/LL-01-10-12.txt,LL,01-10-12,,,,TRUE,,,
LL-03-09-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/LL-03-09-12.txt,LL,03-09-12,,,,TRUE,,,
LL-05-07-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/LL-05-07-12.txt,LL,05-07-12,,,,TRUE,,,
LL-11-06-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/LL-11-06-12.txt,LL,11-06-12,,,,TRUE,,,
LL-12-07-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/LL-12-07-12.txt,LL,12-07-12,,,,TRUE,,,
LL-23-04-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/LL-23-04-12.txt,LL,23-04-12,,,,TRUE,,,
